# Generated by tools/build_taipei_places.py -- edit that, not this.
# name	reading	kind	corpus count, rescaled onto phrase.occ
翠嶺路	cui ling lu	road	0.07
翠華街	cui hua jie	road	0.01
翠雲街	cui yun jie	road	0.02
老泉街	lao quan jie	road	0.29
聖景路	sheng jing lu	road	0.01
育仁路	yu ren lu	road	0.03
育英街	yu ying jie	road	0.15
臥龍街	wo long jie	road	0.67
臨江街	lin jiang jie	road	1.44
臨沂街	lin yi jie	road	0.86
臨溪路	lin xi lu	road	0.09
自強街	zi qiang jie	road	0.71
自祥街	zi xiang jie	road	0.00
自立路	zi li lu	road	1.01
至善路	zhi shan lu	road	2.10
至城路	zhi cheng lu	road	0.00
至誠路	zhi cheng lu	road	0.07
致遠一路	zhi yuan yi lu	road	0.09
致遠三路	zhi yuan san lu	road	0.01
致遠二路	zhi yuan er lu	road	0.04
致遠路	zhi yuan lu	road	0.00
興中路	xing zhong lu	road	0.43
興南街	xing nan jie	road	0.72
興城街	xing cheng jie	road	0.17
興安街	xing an jie	road	0.78
興寧街	xing ning jie	road	0.05
興德路	xing de lu	road	0.12
興東街	xing dong jie	road	0.06
興義街	xing yi jie	road	0.03
興華路	xing hua lu	road	0.25
興隆路	xing long lu	road	3.69
興雅路	xing ya lu	road	0.20
興順街	xing shun jie	road	0.07
舊宗街	jiu zong jie	road	0.00
舊宗路	jiu zong lu	road	0.94
舊莊街	jiu zhuang jie	road	0.14
舟山路	zhou shan lu	road	0.54
艋舺大道	meng jia da dao	road	0.85
芝玉路	zhi yu lu	road	0.01
芳蘭路	fang lan lu	road	0.07
荀子大道	xun zi da dao	road	0.00
草地尾路	cao di wei lu	road	0.00
草湳產業道路	cao nan chan ye dao lu	road	0.00
莊敬路	zhuang jing lu	road	2.30
莊頂路	zhuang ding lu	road	0.02
莒光路	ju guang lu	road	1.51
菁山路	jing shan lu	road	0.38
菁礐路	jing que lu	road	0.00
華亭街	hua ting jie	road	0.14
華光街	hua guang jie	road	0.00
華南巷	hua nan xiang	road	0.00
華岡路	hua gang lu	road	0.13
華榮街	hua rong jie	road	0.11
華聲街	hua sheng jie	road	0.00
華興街	hua xing jie	road	0.46
華西街	hua xi jie	road	3.99
華陰街	hua yin jie	road	1.71
華齡街	hua ling jie	road	0.05
菸廠路	yan chang lu	road	0.30
萬全街	wan quan jie	road	0.12
萬利街	wan li jie	road	0.00
萬和街	wan he jie	road	0.02
萬壽路	wan shou lu	road	1.86
萬大路	wan da lu	road	0.98
萬安街	wan an jie	road	0.54
萬寧街	wan ning jie	road	0.07
萬慶街	wan qing jie	road	0.07
萬溪左線產業道路	wan xi zuo xian chan ye dao lu	road	0.00
萬溪產業道路	wan xi chan ye dao lu	road	0.05
萬盛街	wan sheng jie	road	0.06
萬美街	wan mei jie	road	0.07
萬芳路	wan fang lu	road	0.35
萬隆街	wan long jie	road	0.08
萬青街	wan qing jie	road	0.00
葫東街	hu dong jie	road	0.01
葫蘆街	hu lu jie	road	0.01
蔣渭水高速公路	jiang wei shui gao su gong lu	road	0.14
蘭州街	lan zhou jie	road	0.23
虎林街	hu lin jie	road	0.88
行善路	xing shan lu	road	0.36
行忠路	xing zhong lu	road	0.07
行愛路	xing ai lu	road	0.12
行義路	xing yi lu	road	0.85
衡陽路	heng yang lu	road	2.03
裕民一路	yu min yi lu	road	0.04
裕民三路	yu min san lu	road	0.01
裕民二路	yu min er lu	road	0.04
裕民六路	yu min liu lu	road	0.02
裕民四路	yu min si lu	road	0.01
襄陽路	xiang yang lu	road	0.71
西園街	xi yuan jie	road	0.01
西園路	xi yuan lu	road	1.38
西安街	xi an jie	road	0.71
西寧北路	xi ning bei lu	road	0.40
西寧南路	xi ning nan lu	road	1.28
西昌街	xi chang jie	road	0.73
西藏路	xi zang lu	road	0.76
許昌街	xu chang jie	road	0.39
詔安街	zhao an jie	road	0.07
試院路	shi yuan lu	road	0.31
豐年路	feng nian lu	road	0.20
貴富街	gui fu jie	road	0.01
貴德街	gui de jie	road	0.49
貴陽街	gui yang jie	road	1.56
赤峰街	chi feng jie	road	4.54
車前路	che qian lu	road	0.24
軍功路	jun gong lu	road	0.48
辛亥路	xin hai lu	road	2.72
農安街	nong an jie	road	1.23
農業道路	nong ye dao lu	road	0.07
迪化街	di hua jie	road	18.18
通化街	tong hua jie	road	2.77
通北街	tong bei jie	road	0.03
通安街	tong an jie	road	0.07
通河東街	tong he dong jie	road	0.02
通河街	tong he jie	road	0.22
通河西街	tong he xi jie	road	0.11
連雲街	lian yun jie	road	0.14
進賢路	jin xian lu	road	0.04
逸仙路	yi xian lu	road	0.59
遼寧街	liao ning jie	road	1.18
鄭州街	zheng zhou jie	road	0.14
鄭州路	zheng zhou lu	road	0.78
酉陽街	you yang jie	road	0.09
酒泉街	jiu quan jie	road	0.38
釋迦大道	shi jia da dao	road	0.00
重三路	chong san lu	road	0.02
重慶北	chong qing bei	road	4.33
重慶北路	chong qing bei lu	road	3.57
重慶南路	chong qing nan lu	road	5.03
重陽路	chong yang lu	road	0.84
金山北路	jin shan bei lu	road	0.12
金山南路	jin shan nan lu	road	2.26
金山街	jin shan jie	road	5.06
金湖路	jin hu lu	road	0.38
金莊路	jin zhuang lu	road	0.04
金華街	jin hua jie	road	2.85
金豐街	jin feng jie	road	0.03
金門街	jin men jie	road	1.23
金龍產業道路	jin long chan ye dao lu	road	0.10
金龍路	jin long lu	road	0.59
銀光巷	yin guang xiang	road	0.18
銅山街	tong shan jie	road	0.14
錦州街	jin zhou jie	road	1.69
錦西街	jin xi jie	road	0.60
錫安巷	xi an xiang	road	0.02
鎮江街	zhen jiang jie	road	0.34
長壽路	chang shou lu	road	0.41
長安東路	chang an dong lu	road	2.66
長安西路	chang an xi lu	road	1.35
長安里大同街	chang an li da tong jie	road	0.00
長春街	chang chun jie	road	1.02
長春路	chang chun lu	road	3.02
長沙街	chang sha jie	road	0.50
長泰街	chang tai jie	road	0.16
長生巷	chang sheng xiang	road	0.05
長興街	chang xing jie	road	0.47
長青路	chang qing lu	road	0.16
長順街	chang shun jie	road	0.18
開元街	kai yuan jie	road	0.10
開封街	kai feng jie	road	1.26
開明街	kai ming jie	road	0.02
關渡路	guan du lu	road	0.06
防汛道路	fang xun dao lu	road	1.56
阿柔洋產業道路	a rou yang chan ye dao lu	road	0.14
陽光街	yang guang jie	road	0.41
陽明路	yang ming lu	road	0.51
陽金公路	yang jin gong lu	road	1.80
陽關大道	yang guan da dao	road	0.12
隆昌街	long chang jie	road	0.05
隱潭路	yin tan lu	road	0.00
雅江街	ya jiang jie	road	0.03
集英街	ji ying jie	road	0.07
雙全街	shuang quan jie	road	0.00
雙和街	shuang he jie	road	0.19
雙園街	shuang yuan jie	road	0.07
雙城街	shuang cheng jie	road	2.32
雙溪產業道路	shuang xi chan ye dao lu	road	0.01
雙溪街	shuang xi jie	road	0.03
雙連街	shuang lian jie	road	0.45
雨聲街	yu sheng jie	road	0.20
雨農路	yu nong lu	road	0.22
雲和街	yun he jie	road	0.35
青島東路	qing dao dong lu	road	2.96
青島西路	qing dao xi lu	road	0.16
青年路	qing nian lu	road	3.77
青春嶺路	qing chun ling lu	road	0.00
青田街	qing tian jie	road	2.15
青雲街	qing yun jie	road	0.06
青雲路	qing yun lu	road	1.22
頂新街	ding xin jie	road	0.04
館前路	guan qian lu	road	2.06
饒河街	rao he jie	road	4.26
香丘巷	xiang qiu xiang	road	0.00
麗山街	li shan jie	road	0.14
麗水街	li shui jie	road	0.90
齊東街	qi dong jie	road	0.40
龍江路	long jiang lu	road	1.01
龍泉街	long quan jie	road	0.54
龍華街	long hua jie	road	0.47
七股	qi gu	settlement	27.26
三塊厝	san kuai cuo	settlement	1.56
三腦寮	san nao liao	settlement	0.00
上半嶺	shang ban ling	settlement	0.01
上塔悠	shang ta you	settlement	0.03
上天宮	shang tian gong	settlement	0.17
上灣子	shang wan zi	settlement	0.00
下七股	xia qi gu	settlement	0.37
下八仙	xia ba xian	settlement	0.07
下半嶺	xia ban ling	settlement	0.02
下厝	xia cuo	settlement	0.60
下塔悠	xia ta you	settlement	0.07
下寮	xia liao	settlement	1.13
下崙尾	xia lun wei	settlement	0.00
下灣子	xia wan zi	settlement	0.01
下竹林	xia zhu lin	settlement	0.32
下莊子	xia zhuang zi	settlement	0.03
世貿中心	shi mao zhong xin	settlement	4.90
中八仙	zhong ba xian	settlement	0.22
中坡	zhong po	settlement	0.74
中央日報	zhong yang ri bao	settlement	10.95
中央社區	zhong yang she qu	settlement	0.35
中山分局	zhong shan fen ju	settlement	1.17
中崙尾	zhong lun wei	settlement	0.02
中庸	zhong yong	settlement	23.13
中泰賓館	zhong tai bin guan	settlement	0.36
中華電視台	zhong hua dian shi tai	settlement	0.14
中華電視臺	zhong hua dian shi tai	settlement	0.04
中青礐	zhong qing que	settlement	0.03
乾坑子	qian keng zi	settlement	0.00
二崎	er qi	settlement	0.10
五分	wu fen	settlement	226.56
五分埔	wu fen pu	settlement	3.21
交通部運輸研究所	jiao tong bu yun shu yan jiu suo	settlement	0.80
信義區行政中心	xin yi qu xing zheng zhong xin	settlement	0.11
內寮	nei liao	settlement	1.09
內屋	nei wu	settlement	3.88
內溝	nei gou	settlement	2.35
內雙溪	nei shuang xi	settlement	0.76
公平交易委員會	gong ping jiao yi wei yuan hui	settlement	3.98
公賣局倉庫	gong mai ju cang ku	settlement	0.03
公館地	gong guan di	settlement	0.44
公館後	gong guan hou	settlement	0.15
冷水坑	leng shui keng	settlement	3.46
冷水坑遊客服務中心	leng shui keng you ke fu wu zhong xin	settlement	0.02
凌雲五村	ling yun wu cun	settlement	0.22
力行新村	li xing xin cun	settlement	0.29
勞工育樂中心	lao gong yu le zhong xin	settlement	0.80
北勢湖	bei shi hu	settlement	0.02
北投文物館	bei tou wen wu guan	settlement	1.77
十八分	shi ba fen	settlement	3.21
十四分	shi si fen	settlement	2.53
半嶺	ban ling	settlement	0.61
南港區經貿園區	nan gang qu jing mao yuan qu	settlement	0.01
台北	tai bei	settlement	3262.63
台北市政府行政大樓	tai bei shi zheng fu xing zheng da lou	settlement	0.00
台北酒廠	tai bei jiu chang	settlement	0.22
台灣士林地方法院	tai wan shi lin di fang fa yuan	settlement	0.20
台肥公誠一村	tai fei gong cheng yi cun	settlement	0.00
名門社區	ming men she qu	settlement	0.01
后山崎	hou shan qi	settlement	0.00
吳興國宅	wu xing guo zhai	settlement	0.00
四分子	si fen zi	settlement	0.22
國光山莊	guo guang shan zhuang	settlement	0.00
國立編譯館	guo li bian yi guan	settlement	2.10
國貿局	guo mao ju	settlement	2.41
國際會議中心	guo ji hui yi zhong xin	settlement	11.85
圓山二村	yuan shan er cun	settlement	0.00
圓山仔	yuan shan zi	settlement	0.05
土地公埔	tu di gong pu	settlement	0.03
土埤腳	tu pi jiao	settlement	0.00
地政事務所	di zheng shi wu suo	settlement	17.08
地熱谷	di re gu	settlement	4.31
坡內坑	po nei keng	settlement	0.01
埤腹	pi fu	settlement	0.06
外雙溪	wai shuang xi	settlement	3.34
大同區行政中心	da tong qu xing zheng zhong xin	settlement	0.06
大同新村	da tong xin cun	settlement	0.02
大坑	da keng	settlement	31.06
大塔悠	da ta you	settlement	0.00
大安區行政中心	da an qu xing zheng zhong xin	settlement	0.04
大屯山莊	da tun shan zhuang	settlement	0.00
大嶺	da ling	settlement	2.55
大嶺頭	da ling tou	settlement	0.09
大春山莊	da chun shan zhuang	settlement	0.05
大湖山莊	da hu shan zhuang	settlement	1.03
大莊子	da zhuang zi	settlement	0.03
大邱田	da qiu tian	settlement	0.15
天母游泳池	tian mu you yong chi	settlement	0.02
太平尾	tai ping wei	settlement	0.00
太陽谷	tai yang gu	settlement	0.54
奇岩新村	qi yan xin cun	settlement	0.01
婦聯五村	fu lian wu cun	settlement	0.01
婦聯四村	fu lian si cun	settlement	0.00
守信橋	shou xin qiao	settlement	0.00
密婆坑	mi po keng	settlement	0.00
尖頭	jian tou	settlement	13.11
尾崙	wei lun	settlement	0.13
山仔后	shan zi hou	settlement	0.51
山子頂	shan zi ding	settlement	0.16
山豬湖	shan zhu hu	settlement	0.92
山豬窟	shan zhu ku	settlement	0.87
岐山	qi shan	settlement	8.54
崙子尾	lun zi wei	settlement	0.00
嶺下	ling xia	settlement	1.43
嶺頭	ling tou	settlement	1.69
干城新村	gan cheng xin cun	settlement	0.00
待老坑	dai lao keng	settlement	0.26
後山	hou shan	settlement	34.42
後港墘	hou gang qian	settlement	0.03
後湖	hou hu	settlement	3.12
忠義新村	zhong yi xin cun	settlement	0.41
忠駝國宅	zhong tuo guo zhai	settlement	0.29
成功國宅	cheng gong guo zhai	settlement	1.10
拔子埔	ba zi pu	settlement	0.00
指南宮	zhi nan gong	settlement	3.73
挹翠山莊	yi cui shan zhuang	settlement	0.20
擎天崗	qing tian gang	settlement	6.53
擷翠新村	jie cui xin cun	settlement	0.00
新光三越	xin guang san yue	settlement	63.72
新厝	xin cuo	settlement	1.67
新圳頭	xin zun tou	settlement	0.06
新坡尾	xin po wei	settlement	0.01
新埤	xin pi	settlement	2.24
新安	xin an	settlement	59.29
新村	xin cun	settlement	63.05
新興	xin xing	settlement	436.15
新隆	xin long	settlement	1.23
木尾	mu wei	settlement	0.13
東勢	dong shi	settlement	33.33
林子口	lin zi kou	settlement	0.03
桃源社區	tao yuan she qu	settlement	0.10
棲霞山莊	qi xia shan zhuang	settlement	0.19
榮星花園	rong xing hua yuan	settlement	1.55
榮民服務中心	rong min fu wu zhong xin	settlement	0.02
樟湖	zhang hu	settlement	3.43
水尾	shui wei	settlement	6.10
水尾潭	shui wei tan	settlement	0.03
水磨坑	shui mo keng	settlement	0.07
永嶺	yong ling	settlement	0.05
永春寮	yong chun liao	settlement	0.09
永興新村	yong xing xin cun	settlement	0.00
江厝	jiang cuo	settlement	0.22
治磐社區	zhi pan she qu	settlement	0.00
洲仔	zhou zi	settlement	1.38
洲尾	zhou wei	settlement	0.20
洲美	zhou mei	settlement	12.21
活動中心	huo dong zhong xin	settlement	57.70
浮洲子	fu zhou zi	settlement	0.02
清白新村	qing bai xin cun	settlement	0.01
渡船頭	du chuan tou	settlement	4.41
游厝	you cuo	settlement	0.01
湖底	hu di	settlement	6.21
溝子口	gou zi kou	settlement	0.24
溪子口	xi zi kou	settlement	0.02
溪洲底	xi zhou di	settlement	0.06
溪砂尾	xi sha wei	settlement	0.00
溪頭	xi tou	settlement	20.08
濕水子	shi shui zi	settlement	0.02
灣子	wan zi	settlement	3.26
火炭坑	huo tan keng	settlement	0.00
灰窯	hui yao	settlement	1.83
灰窯坑	hui yao keng	settlement	0.00
炮子林	pao zi lin	settlement	0.01
牛稠湖	niu chou hu	settlement	0.02
猴山坑	hou shan keng	settlement	0.07
猴山岳	hou shan yue	settlement	0.48
猴洞	hou dong	settlement	2.00
獅形	shi xing	settlement	0.37
獅頭山	shi tou shan	settlement	4.72
環境保護局	huan jing bao hu ju	settlement	8.66
瓦厝	wa cuo	settlement	1.12
田心仔	tian xin zi	settlement	0.09
番仔厝	fan zi cuo	settlement	0.24
白宮山莊	bai gong shan zhuang	settlement	0.24
白樁	bai zhuang	settlement	0.02
白雲山莊	bai yun shan zhuang	settlement	0.23
石坡坑	shi po keng	settlement	0.02
石壁坑	shi bi keng	settlement	0.14
石壁坡	shi bi po	settlement	0.00
石崁	shi kan	settlement	0.21
石崎腳	shi qi jiao	settlement	0.00
石獅腳	shi shi jiao	settlement	0.19
石角	shi jiao	settlement	2.43
石頭厝	shi tou cuo	settlement	0.55
破車埔	po che pu	settlement	0.00
碧湖新村	bi hu xin cun	settlement	0.14
磺溪	huang xi	settlement	7.73
礁坑	jiao keng	settlement	0.10
礁坑仔尾	jiao keng zi wei	settlement	0.00
礦寮	kuang liao	settlement	0.00
社後下	she hou xia	settlement	0.00
秀林社區	xiu lin she qu	settlement	0.02
稅捐處大安分處	shui juan chu da an fen chu	settlement	0.00
立農	li nong	settlement	7.21
竹子湖	zhu zi hu	settlement	10.72
竹子籃	zhu zi lan	settlement	0.00
竹嵩嶺	zhu song ling	settlement	0.00
管理處	guan li chu	settlement	73.37
簡厝	jian cuo	settlement	0.03
粉寮	fen liao	settlement	0.46
粗坑	cu keng	settlement	3.64
糞箕湖	fen ji hu	settlement	0.11
羊稠	yang chou	settlement	1.02
美國在台協會	mei guo zai tai xie hui	settlement	13.68
美國在臺協會	mei guo zai tai xie hui	settlement	0.94
翠山社區	cui shan she qu	settlement	0.00
老松	lao song	settlement	4.12
育樂新村	yu le xin cun	settlement	0.05
腦寮	nao liao	settlement	2.24
臥龍新村	wo long xin cun	settlement	0.01
臨江園	lin jiang yuan	settlement	0.00
臺北	tai bei	settlement	559.58
臺北市政府行政大樓	tai bei shi zheng fu xing zheng da lou	settlement	0.00
臺北酒廠	tai bei jiu chang	settlement	0.04
臺灣士林地方法院	tai wan shi lin di fang fa yuan	settlement	0.61
臺肥公誠一村	tai fei gong cheng yi cun	settlement	0.00
興昌星	xing chang xing	settlement	0.00
舊坡	jiu po	settlement	0.03
舊坡口	jiu po kou	settlement	0.00
舊埤	jiu pi	settlement	0.15
舊莊	jiu zhuang	settlement	1.28
芝山巖	zhi shan yan	settlement	0.82
苧子園坑	zhu zi yuan keng	settlement	0.00
草地尾	cao di wei	settlement	0.09
草湳	cao nan	settlement	0.81
莊子頂	zhuang zi ding	settlement	0.01
莒光新城	ju guang xin cheng	settlement	0.42
菜刀崙	cai dao lun	settlement	0.08
華僑會館	hua qiao hui guan	settlement	0.02
華崗	hua gang	settlement	1.09
萬盛	wan sheng	settlement	3.50
葫蘆堵	hu lu du	settlement	0.26
葫蘆洲	hu lu zhou	settlement	0.02
虎形	hu xing	settlement	2.76
西湖社區	xi hu she qu	settlement	0.02
象頭埔	xiang tou pu	settlement	0.05
貴仔坑	gui zi keng	settlement	0.02
車丁腳	che ding jiao	settlement	0.00
軍功坑	jun gong keng	settlement	0.01
軍艦巖	jun jian yan	settlement	0.00
農委會	nong wei hui	settlement	75.80
遊客服務中心	you ke fu wu zhong xin	settlement	5.18
鄭厝	zheng cuo	settlement	0.05
金面	jin mian	settlement	12.98
阿泉坑	a quan keng	settlement	0.02
陳厝	chen cuo	settlement	0.30
雙溪中央社區	shuang xi zhong yang she qu	settlement	0.03
雙溪仔	shuang xi zi	settlement	0.01
雙溪子	shuang xi zi	settlement	0.01
電力研究所	dian li yan jiu suo	settlement	0.18
青年國宅	qing nian guo zhai	settlement	0.25
青礐	qing que	settlement	0.07
頂北投	ding bei tou	settlement	0.07
頂湖	ding hu	settlement	1.65
頂茄苳腳	ding jia dong jiao	settlement	0.00
頂青礐	ding qing que	settlement	0.00
頭廷魁	tou ting kui	settlement	0.02
頭湖	tou hu	settlement	0.61
風雅頌社區	feng ya song she qu	settlement	0.00
馬明潭	ma ming tan	settlement	0.23
馬槽	ma cao	settlement	4.75
魚衡子	yu heng zi	settlement	0.00
鳳梨宅	feng li zhai	settlement	0.07
鴨母寮	ya mu liao	settlement	1.38
麗山新村	li shan xin cun	settlement	0.14
麟光新村	lin guang xin cun	settlement	0.01
龍眼腳	long yan jiao	settlement	0.00
龍船岩	long chuan yan	settlement	0.51
七星山	qi xing shan	nature	6.11
七股山	qi gu shan	nature	0.35
中正山	zhong zheng shan	nature	0.70
丹鳳山	dan feng shan	nature	0.95
五指山	wu zhi shan	nature	7.10
交間山	jiao jian shan	nature	0.00
內埔山	nei pu shan	nature	0.03
公館山	gong guan shan	nature	0.12
劍潭山	jian tan shan	nature	1.52
南港山	nan gang shan	nature	1.70
告尖山	gao jian shan	nature	0.00
唭哩岸山	qi li an shan	nature	0.18
坑頭山	keng tou shan	nature	0.25
大埤湖	da pi hu	nature	0.12
大尖坪山	da jian ping shan	nature	0.00
大崙尾山	da lun wei shan	nature	0.66
大崙頭山	da lun tou shan	nature	0.51
大湖	da hu	nature	52.38
姆指山	mu zhi shi	nature	0.06
姆指山	mu zhi shan	nature	0.06
小尖坑山	xiao jian keng shan	nature	0.00
小草山	xiao cao shan	nature	0.07
尾崙山	wei lun shan	nature	0.03
山豬窟山	shan zhu ku shan	nature	0.00
後山陂	hou shan pi	nature	0.03
抱子腳山	bao zi jiao shan	nature	0.01
景美山	jing mei shan	nature	0.26
水井尾山	shui jing wei shan	nature	0.00
涓絲瀑布	juan si pu bu	nature	0.07
溪子口山	xi zi kou shan	nature	0.01
烏尖連山	wu jian lian shan	nature	0.02
白石湖山	bai shi hu shan	nature	0.30
白雲山	bai yun shan	nature	1.73
白露山	bai lou shan	nature	0.05
石尖山	shi jian shan	nature	0.07
磺溪山	huang xi shan	nature	0.06
紗帽山	sha mao shan	nature	2.21
舊莊山	jiu zhuang shan	nature	0.00
蟾蜍山	chan chu shan	nature	2.25
赤上天山	chi shang tian shan	nature	0.00
金面山	jin mian shan	nature	1.78
陽明湖	yang ming hu	nature	0.26
魚行山	yu xing shan	nature	0.01
鵝米山	e mi shan	nature	0.02
七星橋	qi xing qiao	landmark	0.36
三樂花園	san le hua yuan	landmark	0.00
三清堂	san qing tang	landmark	0.00
三玉	san yu	landmark	0.76
三興	san xing	landmark	2.39
上清宮	shang qing gong	landmark	0.46
世新大學	shi xin da xue	landmark	21.15
中和禪寺	zhong he chan si	landmark	0.04
中國工商專校	zhong guo gong shang zhuan xiao	landmark	0.03
中國文化大學	zhong guo wen hua da xue	landmark	7.53
中國海專	zhong guo hai zhuan	landmark	0.32
中央信託局	zhong yang xin tuo ju	landmark	0.65
中央圖書館	zhong yang tu shu guan	landmark	3.47
中央研究院	zhong yang yan jiu yuan	landmark	33.46
中央選舉委員會	zhong yang xuan ju wei yuan hui	landmark	3.05
中央銀行	zhong yang yin hang	landmark	46.89
中山區健康服務中心	zhong shan qu jian kang fu wu zhong xin	landmark	0.02
中山區行政中心	zhong shan qu xing zheng zhong xin	landmark	0.01
中山女高	zhong shan nv gao	landmark	2.80
中山消防中隊	zhong shan xiao fang zhong dui	landmark	0.00
中山醫療社團法人中山醫院	zhong shan yi liao she tuan fa ren zhong shan yi yuan	landmark	0.03
中崙消防分隊	zhong lun xiao fang fen dui	landmark	0.00
中正分局	zhong zheng fen ju	landmark	0.07
中正區健康服務中心	zhong zheng qu jian kang fu wu zhong xin	landmark	0.02
中正圖書館	zhong zheng tu shu guan	landmark	0.25
中正河濱公園	zhong zheng he bin gong yuan	landmark	0.24
中正消防中隊	zhong zheng xiao fang zhong dui	landmark	0.00
中正高中	zhong zheng gao zhong	landmark	1.59
中興中學	zhong xing zhong xue	landmark	0.03
中興大學體育館	zhong xing da xue ti yu guan	landmark	0.06
中華科技大學	zhong hua ke ji da xue	landmark	0.88
中華航空公司	zhong hua hang kong gong si	landmark	1.55
中華電信	zhong hua dian xin	landmark	131.87
中華體育館	zhong hua ti yu guan	landmark	0.25
中視公司	zhong shi gong si	landmark	0.07
二二八和平公園	er er ba he ping gong yuan	landmark	0.65
五常	wu chang	landmark	9.20
亞洲信託公司	ya zhou xin tuo gong si	landmark	0.00
交通部	jiao tong bu	landmark	159.40
什姓宮	she xing gong	landmark	0.00
仁康醫院	ren kang yi yuan	landmark	0.09
介壽	jie shou	landmark	8.90
介壽公園	jie shou gong yuan	landmark	0.44
仙公廟	xian gong miao	landmark	0.65
保德廟	bao de miao	landmark	0.00
信和煤礦	xin he mei kuang	landmark	0.00
信義區健康服務中心	xin yi qu jian kang fu wu zhong xin	landmark	0.14
信義消防中隊	xin yi xiao fang zhong dui	landmark	0.00
信義消防分隊	xin yi xiao fang fen dui	landmark	0.02
修聖寺	xiu sheng si	landmark	0.00
健保局	jian bao ju	landmark	17.28
健行橋	jian xing qiao	landmark	0.00
元山殿	yuan shan dian	landmark	0.00
光仁	guang ren	landmark	2.18
光明消防分隊	guang ming xiao fang fen dui	landmark	0.00
光武工專	guang wu gong zhuan	landmark	0.17
內政部	nei zheng bu	landmark	192.77
內湖分局	nei hu fen ju	landmark	0.67
內湖區健康服務中心	nei hu qu jian kang fu wu zhong xin	landmark	0.21
內湖垃圾焚化廠	nei hu le se fen hua chang	landmark	0.04
內湖消防中隊	nei hu xiao fang zhong dui	landmark	0.00
內湖消防分隊	nei hu xiao fang fen dui	landmark	0.00
內湖科技園區	nei hu ke ji yuan qu	landmark	1.93
內湖第七公墓	nei hu di qi gong mu	landmark	0.00
內湖第六公墓	nei hu di liu gong mu	landmark	0.00
內湖高中	nei hu gao zhong	landmark	0.79
內湖高工	nei hu gao gong	landmark	0.70
內雙溪橋	nei shuang xi qiao	landmark	0.00
全昌堂傳統中醫醫院	quan chang tang chuan tong zhong yi yi yuan	landmark	0.00
八德消防分隊	ba de xiao fang fen dui	landmark	0.00
公正橋	gong zheng qiao	landmark	0.00
再興中學	zai xing zhong xue	landmark	0.36
劍南橋	jian nan qiao	landmark	0.00
劍潭古寺	jian tan gu si	landmark	0.24
劍潭消防分隊	jian tan xiao fang fen dui	landmark	0.00
力行	li xing	landmark	94.27
勝浩宮	sheng hao gong	landmark	0.00
勞保局	lao bao ju	landmark	26.62
勞委會	lao wei hui	landmark	27.29
勞工局勞動檢查處	lao gong ju lao dong jian cha chu	landmark	0.17
勞工局就業服務中心	lao gong ju jiu ye fu wu zhong xin	landmark	0.07
勞工職訓中心	lao gong zhi xun zhong xin	landmark	0.00
北一女中	bei yi nv zhong	landmark	4.17
北安	bei an	landmark	11.61
北市軍人公墓	bei shi jun ren gong mu	landmark	0.05
北投公園	bei tou gong yuan	landmark	4.78
北投區健康服務中心	bei tou qu jian kang fu wu zhong xin	landmark	0.10
北投垃圾焚化場	bei tou le se fen hua chang	landmark	0.01
北投橋	bei tou qiao	landmark	0.00
北投消防中隊	bei tou xiao fang zhong dui	landmark	0.00
北投第一公墓	bei tou di yi gong mu	landmark	0.00
北政	bei zheng	landmark	4.02
十信工商	shi xin gong shang	landmark	0.07
協和婦女醫院	xie he fu nv yi yuan	landmark	0.21
協和工商	xie he gong shang	landmark	0.19
南京東路站	nan jing dong lu zhan	landmark	1.11
南深橋	nan shen qiao	landmark	0.02
南港公園	nan gang gong yuan	landmark	0.94
南港區健康服務中心	nan gang qu jian kang fu wu zhong xin	landmark	0.08
南港橋	nan gang qiao	landmark	0.22
南港消防中隊	nan gang xiao fang zhong dui	landmark	0.00
南港消防分隊	nan gang xiao fang fen dui	landmark	0.00
南港第二公墓	nan gang di er gong mu	landmark	0.00
南港經貿園區	nan gang jing mao yuan qu	landmark	0.46
南港高工	nan gang gao gong	landmark	0.82
南湖大橋	nan hu da qiao	landmark	0.31
南門	nan men	landmark	38.20
博仁綜合醫院	bo ren zong he yi yuan	landmark	0.31
博嘉	bo jia	landmark	0.62
原子能委員會	yuan zi neng wei yuan hui	landmark	1.52
古亭抽水站	gu ting chou shui zhan	landmark	0.00
古亭河濱公園	gu ting he bin gong yuan	landmark	0.79
古亭消防分隊	gu ting xiao fang fen dui	landmark	0.00
台北一隧道	tai bei yi sui dao	landmark	0.00
台北二隧道	tai bei er sui dao	landmark	0.00
台北君悅飯店	tai bei jun yue fan dian	landmark	0.45
台北國際社區電台	tai bei guo ji she qu dian tai	landmark	0.00
台北大橋	tai bei da qiao	landmark	0.43
台北市政府勞工局	tai bei shi zheng fu lao gong ju	landmark	0.30
台北市政府消防局	tai bei shi zheng fu xiao fang ju	landmark	0.29
台北市災害應變中心	tai bei shi zai hai ying bian zhong xin	landmark	0.07
台北市監理站	tai bei shi jian li zhan	landmark	0.03
台北市立動物園	tai bei shi li dong wu yuan	landmark	4.52
台北市立圖書館	tai bei shi li tu shu guan	landmark	1.20
台北市立萬芳醫院	tai bei shi li wan fang yi yuan	landmark	0.55
台北市立關渡醫院	tai bei shi li guan du yi yuan	landmark	0.22
台北市第二公墓	tai bei shi di er gong mu	landmark	0.00
台北市第八公墓	tai bei shi di ba gong mu	landmark	0.00
